Config: HL=[4], Act=Softmax, Ep=25, LR=0.1, BS=32, Acc=0.8829
Config: HL=[4], Act=Softmax, Ep=25, LR=0.1, BS=64, Acc=0.8585
Config: HL=[4], Act=Softmax, Ep=25, LR=0.1, BS=128, Acc=0.8488
Config: HL=[4], Act=Softmax, Ep=25, LR=0.01, BS=16, Acc=0.8683
Config: HL=[4], Act=Softmax, Ep=25, LR=0.01, BS=32, Acc=0.8244
Config: HL=[4], Act=Softmax, Ep=25, LR=0.01, BS=64, Acc=0.8439
Config: HL=[4], Act=Softmax, Ep=25, LR=0.01, BS=128, Acc=0.8537
Config: HL=[4], Act=Softmax, Ep=25, LR=0.001, BS=16, Acc=0.8098
Config: HL=[4], Act=Softmax, Ep=25, LR=0.001, BS=32, Acc=0.7854
Config: HL=[4], Act=Softmax, Ep=25, LR=0.001, BS=64, Acc=0.7756
Config: HL=[4], Act=Softmax, Ep=25, LR=0.001, BS=128, Acc=0.7902
Config: HL=[4], Act=Softmax, Ep=25, LR=0.0001, BS=16, Acc=0.5024
Config: HL=[4], Act=Softmax, Ep=25, LR=0.0001, BS=32, Acc=0.6683
Config: HL=[4], Act=Softmax, Ep=25, LR=0.0001, BS=64, Acc=0.7073
Config: HL=[4], Act=Softmax, Ep=25, LR=0.0001, BS=128, Acc=0.7366
Config: HL=[4], Act=Softmax, Ep=50, LR=0.1, BS=16, Acc=0.8732
Config: HL=[4], Act=Softmax, Ep=50, LR=0.1, BS=32, Acc=0.8488
Config: HL=[4], Act=Softmax, Ep=50, LR=0.1, BS=64, Acc=0.8780
Config: HL=[4], Act=Softmax, Ep=50, LR=0.1, BS=128, Acc=0.8537
Config: HL=[4], Act=Softmax, Ep=50, LR=0.01, BS=16, Acc=0.8341
Config: HL=[4], Act=Softmax, Ep=50, LR=0.01, BS=32, Acc=0.8634
Config: HL=[4], Act=Softmax, Ep=50, LR=0.01, BS=64, Acc=0.8537
Config: HL=[4], Act=Softmax, Ep=50, LR=0.01, BS=128, Acc=0.8732
Config: HL=[4], Act=Softmax, Ep=50, LR=0.001, BS=16, Acc=0.8244
Config: HL=[4], Act=Softmax, Ep=50, LR=0.001, BS=32, Acc=0.7951
Config: HL=[4], Act=Softmax, Ep=50, LR=0.001, BS=64, Acc=0.8000
Config: HL=[4], Act=Softmax, Ep=50, LR=0.001, BS=128, Acc=0.8000
Config: HL=[4], Act=Softmax, Ep=50, LR=0.0001, BS=16, Acc=0.7659
Config: HL=[4], Act=Softmax, Ep=50, LR=0.0001, BS=32, Acc=0.7220
Config: HL=[4], Act=Softmax, Ep=50, LR=0.0001, BS=64, Acc=0.7268
Config: HL=[4], Act=Softmax, Ep=50, LR=0.0001, BS=128, Acc=0.4976
Config: HL=[4], Act=Softmax, Ep=100, LR=0.1, BS=16, Acc=0.8585
Config: HL=[4], Act=Softmax, Ep=100, LR=0.1, BS=32, Acc=0.8927
Config: HL=[4], Act=Softmax, Ep=100, LR=0.1, BS=64, Acc=0.8829
Config: HL=[4], Act=Softmax, Ep=100, LR=0.1, BS=128, Acc=0.8927
Config: HL=[4], Act=Softmax, Ep=100, LR=0.01, BS=16, Acc=0.8488
Config: HL=[4], Act=Softmax, Ep=100, LR=0.01, BS=32, Acc=0.8634
Config: HL=[4], Act=Softmax, Ep=100, LR=0.01, BS=64, Acc=0.8293
Config: HL=[4], Act=Softmax, Ep=100, LR=0.01, BS=128, Acc=0.8537
Config: HL=[4], Act=Softmax, Ep=100, LR=0.001, BS=16, Acc=0.8000
Config: HL=[4], Act=Softmax, Ep=100, LR=0.001, BS=32, Acc=0.8049
